Grade,Gender,Resolved Race/Ethnicity,Home ZIP Code,Sped,504,EL,Home Language,GPA,Latest College Credit Taken,Total College Credit Taken,Fall SEC TScore,Fall SEC Percentile,Fall SEC Description,Winter SEC TScore,Winter SEC Percentile,Winter SEC Description
10,Male,Black or African American,55110,N,,,English (011),1.244,2023,1,29,2,N,28,1,N
10,Male,White,55110,N,,,English (011),1.515,,,29,2,N,,,
10,Male,Hispanic,55110,N,,Served,Spanish (045),1.751,,,29,2,N,30,2,N
10,Male,White,55110,Y,,,English (011),2.41,2022,1,29,2,N,28,1,N
10,Male,Asian,55110,Y,,Served,Hmong (020),2.423,,,29,2,N,29,2,N
10,Male,White,55110,N,,,English (011),3.621,2023,2,29,2,N,28,1,N
9,Female,Two or More,55110,N,,,English (011),2.776,2023,1,29,2,N,45,31,T
9,Female,White,55110,N,,,English (011),3.277,,,29,2,N,28,1,N
9,Female,Asian,55110,N,,,English (011),3.445,,,29,2,N,29,2,N
9,Male,White,55110,N,,,English (011),3.667,,,29,2,N,46,34,T
11,Male,White,55110,N,,,English (011),2.616,,,30,2,N,,,
10,Male,Two or More,55110,N,,,English (011),2.768,2022,2,30,2,N,32,4,N
10,Male,White,55110,Y,,,English (011),2.905,,,30,2,N,40,16,N
9,Female,White,55110,N,,,English (011),0.222,,,30,2,N,44,27,T
9,Male,White,55110,N,,,English (011),0.38,,,30,2,N,,,
9,Male,Asian,55110,N,,,English (011),0.946,2023,1,30,2,N,41,18,T
9,Male,White,55110,N,,,English (011),1.235,,,30,2,N,32,4,N
9,Male,Hispanic,55110,N,,,English (011),1.362,,,30,2,N,,,
9,Female,Two or More,55110,N,,,English (011),1.585,,,30,2,N,28,1,N
9,Female,White,55110,Y,,,English (011),1.763,,,30,2,N,28,1,N
9,Female,Asian,55110,N,,,English (011),1.866,,,30,2,N,32,4,N
9,Male,White,55110,N,,,English (011),3.555,,,30,2,N,,,
12,Female,White,55110,N,X,,English (011),2.155,2023,2,31,3,N,,,
12,Male,Black or African American,55110,N,,,English (011),4.074,2023,5,31,3,N,50,50,T
11,Male,Hispanic,55110,N,,,English (011),2.785,,,31,3,N,,,
11,Male,White,55110,N,X,,English (011),3.793,2023,3,31,3,N,38,12,N
11,Female,White,55110,N,,,English (011),3.871,2023,6,31,3,N,,,
10,Female,White,55110,N,,,English (011),0.899,,,31,3,N,,,
10,Male,White,55110,N,,,English (011),1.314,,,31,3,N,31,3,N
10,Female,Asian,55110,N,,,English (011),1.353,,,31,3,N,,,
10,Female,White,55110,N,,,English (011),1.36,2023,1,31,3,N,32,4,N
10,Female,Hispanic,55110,Y,,Served,Spanish (045),2.644,,,31,3,N,34,5,N
10,Female,White,55110,N,,,English (011),3.168,,,31,3,N,,,
10,Male,Asian,55110,N,X,,English (011),3.515,2023,4,31,3,N,29,2,N
9,Female,White,55110,N,,,English (011),0.5,,,31,3,N,,,
9,Male,Black or African American,55110,N,,Qualified Not Participating,Anuak (103),1.39,,,31,3,N,,,
9,Male,White,55110,N,,,English (011),1.89,,,31,3,N,38,12,N
9,Male,White,55110,N,,,English (011),2.362,,,31,3,N,,,
9,Male,White,55110,N,,,English (011),2.602,,,31,3,N,29,2,N
9,Male,Asian,55110,N,,,English (011),3.39,2023,1,31,3,N,,,
12,Female,White,55110,N,,,English (011),1.706,2023,1,32,4,N,,,
12,Male,White,55110,N,,,English (011),1.871,2021,2,32,4,N,,,
12,Male,Two or More,55110,N,,,English (011),2.658,,,32,4,N,,,
12,Female,White,55110,N,,,English (011),3.601,,,32,4,N,28,1,N
11,Male,White,55110,N,,,English (011),1.314,,,32,4,N,,,
11,Female,Asian,55110,N,,,English (011),1.556,,,32,4,N,,,
11,Male,White,55110,N,,,English (011),2.208,2023,1,32,4,N,40,16,N
11,Male,Hispanic,55110,Y,,Served,Spanish (045),3.047,,,32,4,N,33,4,N
11,Male,White,55110,N,,,English (011),3.506,,,32,4,N,,,
10,Male,White,55110,N,,,English (011),0.596,,,32,4,N,41,18,T
10,Male,Asian,55110,N,,Served,Hmong (020),1.741,,,32,4,N,31,3,N
10,Male,White,55110,Y,,,English (011),2.066,,,32,4,N,29,2,N
10,Male,White,55110,Y,,,English (011),2.755,,,32,4,N,32,4,N
10,Male,White,55110,Y,,,English (011),3.096,,,32,4,N,28,1,N
10,Male,White,55110,N,,,English (011),3.425,,,32,4,N,36,8,N
10,Male,White,55110,Y,,,English (011),3.608,,,32,4,N,28,1,N
10,Female,Asian,55110,N,,Served,"Filipino, Pilipino (126)",3.778,,,32,4,N,,,
9,Male,Black or African American,55110,N,,,English (011),0.518,,,32,4,N,35,7,N
9,Male,White,55110,N,,,English (011),1.125,,,32,4,N,35,7,N
9,Female,Two or More,55110,N,,,English (011),1.334,,,32,4,N,28,1,N
9,Female,White,55110,N,,,English (011),1.585,,,32,4,N,28,1,N
9,Male,White,55110,N,,,English (011),2.613,,,32,4,N,31,3,N
9,Female,Hispanic,55110,N,,Served,Spanish (045),2.918,,,32,4,N,38,12,N
12,Male,White,55110,N,,,English (011),2.139,,,33,4,N,,,
12,Male,White,55110,N,,,English (011),2.88,,,33,4,N,37,10,N
12,Male,White,55110,N,,,English (011),2.986,,,33,4,N,,,
12,Male,White,55110,N,,,English (011),3.917,2023,8,33,4,N,,,
12,Female,White,55110,N,,,English (011),4.079,2023,13,33,4,N,36,8,N
11,Male,White,55110,N,,,English (011),1.437,2022,1,33,4,N,42,21,T
11,Male,White,55110,N,,,English (011),2.739,,,33,4,N,28,1,N
11,Male,White,55110,N,,,English (011),3.567,,,33,4,N,39,14,N
10,Male,White,55110,N,,,English (011),2.768,,,33,4,N,49,46,T
10,Male,Hispanic,55110,N,,Served,Spanish (045),2.916,,,33,4,N,38,12,N
9,Male,White,55110,Y,,,English (011),2.097,,,33,4,N,28,1,N
9,Female,White,55110,N,,,English (011),3.002,,,33,4,N,34,5,N
12,Female,Asian,55110,N,,,English (011),2.121,2023,1,34,5,N,,,
12,Female,White,55110,N,,,English (011),3.226,2022,2,34,5,N,37,10,N
11,Male,White,55110,Y,,,English (011),2.84,,,34,5,N,,,
10,Female,Asian,55110,Y,,,English (011),2.094,,,34,5,N,,,
10,Female,White,55110,N,,,English (011),2.509,,,34,5,N,36,8,N
10,Male,Two or More,55110,N,,,English (011),2.816,,,34,5,N,48,42,T
10,Female,White,55110,N,,,English (011),3.759,2022,2,34,5,N,44,27,T
10,Female,White,55110,N,,,English (011),3.894,2023,2,34,5,N,41,18,T
10,Female,Two or More,55110,N,,,English (011),3.951,2023,1,34,5,N,37,10,N
9,Male,Hispanic,55110,N,,,English (011),1,,,34,5,N,,,
9,Male,Two or More,55110,Y,,,English (011),1.67,,,34,5,N,29,2,N
9,Male,Asian,55110,N,,,English (011),3.109,,,34,5,N,33,4,N
9,Female,White,55110,N,,,English (011),3.445,,,34,5,N,47,38,T
12,Male,White,55110,Y,,,English (011),0.734,,,35,7,N,,,
12,Male,White,55110,N,,,English (011),2.681,,,35,7,N,,,
12,Female,White,55110,N,X,,English (011),2.741,2023,8,35,7,N,,,
12,Male,White,55110,N,,,English (011),3.48,2023,9,35,7,N,,,
12,Female,White,55110,N,,,English (011),3.536,2023,9,35,7,N,45,31,T
11,Female,Two or More,55110,N,,,English (011),1.077,,,35,7,N,,,
11,Female,Hispanic,55110,N,,,English (011),2.506,2022,1,35,7,N,38,12,N
11,Female,White,55110,N,,,English (011),3.675,2023,4,35,7,N,,,
10,Male,White,55110,N,,,English (011),1.835,,,35,7,N,,,
10,Male,Two or More,55110,N,,,English (011),2.519,,,35,7,N,36,8,N
10,Male,White,55110,N,,,English (011),2.63,,,35,7,N,44,27,T
10,Female,White,55110,N,,,English (011),3.334,,,35,7,N,37,10,N
9,Male,Two or More,55110,N,,,English (011),1.768,,,35,7,N,28,1,N
9,Female,White,55110,N,,,English (011),2.557,,,35,7,N,39,14,N
9,Female,White,55110,N,,,English (011),3.057,,,35,7,N,,,
9,Female,White,55110,N,,,English (011),3.668,,,35,7,N,37,10,N
12,Female,White,55110,N,,,English (011),1.109,2023,1,36,8,N,,,
12,Female,Hispanic,55110,N,,,Spanish (045),2.236,2023,4,36,8,N,,,
12,Female,White,55110,Y,,,English (011),2.935,,,36,8,N,,,
12,Female,Asian,55110,N,,Served,Vietnamese (051),2.939,2023,2,36,8,N,39,14,N
12,Female,White,55110,N,,,English (011),3.384,2023,2,36,8,N,,,
12,Male,Two or More,55110,N,X,,English (011),3.818,2023,17,36,8,N,32,4,N
11,Male,White,55110,N,,,English (011),1.497,,,36,8,N,,,
11,Male,Two or More,55110,N,,,English (011),2.162,2023,3,36,8,N,32,4,N
11,Male,Hispanic,55110,N,,,English (011),2.709,2023,2,36,8,N,39,14,N
11,Female,White,55110,N,,,English (011),3.216,2023,4,36,8,N,31,3,N
11,Male,White,55110,N,,,English (011),3.639,,,36,8,N,42,21,T
11,Female,Asian,55110,N,,,English (011),4.012,2023,4,36,8,N,32,4,N
11,Female,White,55110,N,,,English (011),4.237,2023,10,36,8,N,42,21,T
10,Male,Two or More,55110,N,,,English (011),0.222,2023,1,36,8,N,,,
10,Female,Hispanic,55110,Y,,Served,Spanish (045),0.583,,,36,8,N,,,
10,Male,White,55110,N,,,English (011),2.529,2023,1,36,8,N,35,7,N
10,Female,White,55110,N,,,English (011),3.183,2023,1,36,8,N,31,3,N
10,Male,White,55110,Y,,,English (011),3.274,2023,1,36,8,N,31,3,N
10,Female,Hispanic,55110,N,,Served,Spanish (045),3.278,,,36,8,N,36,8,N
10,Male,White,55110,N,,,English (011),3.945,2022,1,36,8,N,,,
9,Male,White,55110,N,,,English (011),1.302,,,36,8,N,28,1,N
9,Female,White,55110,N,X,,English (011),1.868,,,36,8,N,31,3,N
9,Female,Black or African American,55110,N,,Served,Amharic (063),1.891,,,36,8,N,,,
9,Female,Two or More,55110,N,,,English (011),2.196,,,36,8,N,37,10,N
9,Male,Asian,55110,N,,,English (011),2.222,,,36,8,N,44,27,T
9,Female,White,55110,N,,,English (011),2.39,,,36,8,N,36,8,N
9,Male,Hispanic,55110,N,,,English (011),2.861,,,36,8,N,52,58,T
9,Female,White,55110,N,,,English (011),3.199,,,36,8,N,38,12,N
9,Female,White,55110,N,,,English (011),3.557,,,36,8,N,28,1,N
9,Female,White,55110,N,,,English (011),3.835,,,36,8,N,35,7,N
12,Male,Hispanic,55110,N,X,,English (011),1.771,,,37,10,N,,,
12,Female,White,55110,N,,,English (011),1.816,,,37,10,N,,,
12,Male,White,55110,Y,,,English (011),2.534,,,37,10,N,31,3,N
12,Female,White,55110,N,,,English (011),2.996,2023,2,37,10,N,,,
12,Male,Hispanic,55110,N,,,English (011),3.666,2022,5,37,10,N,46,34,T
12,Female,White,55110,N,,,English (011),4.351,2023,14,37,10,N,35,7,N
11,Male,White,55110,N,,,English (011),1.484,,,37,10,N,,,
11,Male,White,55110,N,,,English (011),1.964,2022,4,37,10,N,32,4,N
11,Female,White,55110,Y,,,English (011),2.63,,,37,10,N,42,21,T
11,Female,White,55110,N,,,English (011),3.644,,,37,10,N,,,
11,Male,White,55110,N,,,English (011),4,2023,11,37,10,N,,,
10,Female,White,55110,N,,,English (011),1.043,,,37,10,N,28,1,N
10,Male,White,55110,N,,,English (011),1.622,,,37,10,N,36,8,N
10,Female,Hispanic,55110,N,,,English (011),2.612,,,37,10,N,35,7,N
10,Female,Black or African American,55110,N,,,English (011),3.82,2023,1,37,10,N,47,38,T
10,Female,Hispanic,55110,N,,,English (011),3.857,2023,1,37,10,N,28,1,N
9,Male,Two or More,55110,Y,,,English (011),0.25,,,37,10,N,,,
9,Female,Black or African American,55110,N,,,English (011),0.668,,,37,10,N,36,8,N
9,Female,Black or African American,55110,N,,,English (011),1.61,,,37,10,N,46,34,T
9,Male,White,55110,N,,,English (011),1.861,,,37,10,N,,,
9,Male,White,55110,N,,,English (011),2.778,,,37,10,N,41,18,T
9,Male,Asian,55110,N,,Served,Hmong (020),2.918,,,37,10,N,36,8,N
9,Male,Asian,55110,N,,,English (011),3.583,,,37,10,N,38,12,N
9,Male,White,55110,Y,,,English (011),3.61,,,37,10,N,39,14,N
9,Male,White,55110,N,,,English (011),3.777,,,37,10,N,32,4,N
9,Female,White,55110,N,,,English (011),3.888,,,37,10,N,47,38,T
12,Female,White,55110,N,,,English (011),1.884,2022,1,38,12,N,,,
12,Male,Asian,55110,N,,,English (011),2.629,,,38,12,N,,,
12,Female,White,55110,N,,,English (011),2.667,,,38,12,N,,,
12,Female,Two or More,55110,N,,,English (011),2.821,2023,4,38,12,N,,,
12,Male,White,55110,N,,,English (011),2.898,2023,1,38,12,N,,,
12,Female,Two or More,55110,N,,,English (011),3.35,2023,4,38,12,N,53,62,T
11,Female,White,55110,N,X,,English (011),0.935,,,38,12,N,,,
11,Male,White,55110,N,,,English (011),1.418,,,38,12,N,,,
11,Male,White,55110,N,,,English (011),2.092,2023,1,38,12,N,38,12,N
11,Female,White,55110,N,,,English (011),3.033,,,38,12,N,,,
10,Female,White,55110,N,,,English (011),0.86,,,38,12,N,42,21,T
10,Male,White,55110,N,,,English (011),1.657,2022,1,38,12,N,28,1,N
10,Male,Asian,55110,N,,Qualified Not Participating,Hmong (020),2.355,,,38,12,N,47,38,T
10,Female,White,55110,N,,,English (011),2.572,,,38,12,N,40,16,N
10,Male,White,55110,N,,,English (011),3.341,2022,2,38,12,N,49,46,T
10,Female,White,55110,N,,,English (011),3.477,2023,2,38,12,N,53,62,T
10,Female,Hispanic,55110,N,,,English (011),3.889,2023,1,38,12,N,41,18,T
10,Female,White,55110,N,,,English (011),3.94,2023,1,38,12,N,41,18,T
10,Female,White,55110,N,,,English (011),4.001,2023,1,38,12,N,49,46,T
10,Female,White,55110,N,,,English (011),4.111,2023,2,38,12,N,44,27,T
9,Male,Hispanic,55110,Y,,,English (011),0.918,,,38,12,N,43,24,T
9,Male,White,55110,N,,,English (011),1.468,,,38,12,N,43,24,T
9,Male,Hispanic,55110,N,,,English (011),2.057,,,38,12,N,28,1,N
9,Male,White,55110,Y,,,English (011),2.131,,,38,12,N,54,66,T
9,Female,Asian,55110,N,,Served,Hmong (020),2.53,,,38,12,N,38,12,N
9,Female,White,55110,N,,,English (011),2.61,,,38,12,N,39,14,N
9,Female,White,55110,N,,,English (011),3.333,,,38,12,N,36,8,N
9,Male,White,55110,N,,,English (011),3.443,,,38,12,N,45,31,T
9,Male,White,55110,N,,,English (011),3.445,,,38,12,N,45,31,T
9,Female,Black or African American,55110,N,,Served,French (015),3.5,,,38,12,N,40,16,N
9,Male,Hispanic,55110,N,,,English (011),3.555,,,38,12,N,42,21,T
9,Female,Hispanic,55110,N,,Served,Spanish (045),3.667,,,38,12,N,32,4,N
12,Male,White,55110,N,,,English (011),1.068,2023,1,39,14,N,,,
12,Female,Hispanic,55110,N,X,,English (011),2.475,2023,6,39,14,N,,,
12,Female,White,55110,Y,,,English (011),2.82,,,39,14,N,42,21,T
12,Female,White,55110,N,,,English (011),3.441,2023,3,39,14,N,34,5,N
12,Female,White,55110,N,,,English (011),3.729,2023,8,39,14,N,40,16,N
12,Male,White,55110,N,,,English (011),4.157,2023,9,39,14,N,72,99,S
11,Male,White,55110,Y,,,English (011),2.941,2023,1,39,14,N,42,21,T
11,Male,White,55110,N,,,English (011),3.584,,,39,14,N,,,
11,Female,White,55110,N,,,English (011),3.76,2022,2,39,14,N,40,16,N
10,Female,White,55110,N,,,English (011),0.476,,,39,14,N,,,
10,Male,Two or More,55110,N,,,English (011),2.926,,,39,14,N,,,
10,Female,White,55110,N,X,,English (011),3.104,,,39,14,N,,,
10,Female,White,55110,N,,,English (011),3.125,2023,1,39,14,N,,,
10,Male,White,55110,Y,,,English (011),3.457,2022,1,39,14,N,47,38,T
10,Female,White,55110,N,,,English (011),3.879,2023,1,39,14,N,43,24,T
10,Male,White,55110,N,,,English (011),4.294,2023,6,39,14,N,41,18,T
9,Female,Hispanic,55110,N,,Served,Spanish (045),0.5,,,39,14,N,37,10,N
9,Male,White,55110,N,,,English (011),0.557,2023,1,39,14,N,36,8,N
9,Female,White,55110,N,,,English (011),0.723,,,39,14,N,,,
9,Female,White,55110,N,,,English (011),2.435,,,39,14,N,32,4,N
9,Male,Two or More,55110,Y,,,English (011),2.501,,,39,14,N,36,8,N
9,Male,Two or More,55110,N,,,English (011),3.443,,,39,14,N,37,10,N
9,Female,Asian,55110,N,,,English (011),3.473,,,39,14,N,43,24,T
9,Female,White,55110,N,,,English (011),3.888,,,39,14,N,,,
9,Male,Two or More,55110,N,X,,English (011),3.918,,,39,14,N,37,10,N
9,Female,White,55110,N,,,English (011),3.949,,,39,14,N,37,10,N
9,Male,White,55110,Y,,,English (011),4,2023,1,39,14,N,36,8,N
12,Male,Asian,55110,N,,Served,Hmong (020),1.808,2021,3,40,16,N,,,
12,Male,White,55110,Y,,,English (011),2.675,2023,4,40,16,N,31,3,N
12,Male,White,55110,N,,,English (011),2.978,2023,3,40,16,N,,,
12,Female,White,55110,N,X,,English (011),3.294,2023,9,40,16,N,,,
12,Female,White,55110,N,,,English (011),3.597,2023,6,40,16,N,,,
12,Male,Asian,55110,N,,Served,Vietnamese (051),3.611,,,40,16,N,,,
12,Male,White,55110,N,,,English (011),3.76,2023,5,40,16,N,31,3,N
11,Male,White,55110,N,,,English (011),1.243,2022,1,40,16,N,,,
11,Female,White,55110,N,,,English (011),1.684,2023,1,40,16,N,39,14,N
11,Female,White,55110,Y,,,English (011),2,,,40,16,N,,,
11,Male,Hispanic,55110,N,,,English (011),2.604,2023,3,40,16,N,,,
11,Male,White,55110,N,,,English (011),2.867,,,40,16,N,,,
11,Female,White,55110,N,,,English (011),2.934,,,40,16,N,37,10,N
11,Female,White,55110,N,,,English (011),2.967,,,40,16,N,38,12,N
11,Female,White,55110,N,,,English (011),3.057,,,40,16,N,43,24,T
11,Female,White,55110,N,,,English (011),3.549,2021,1,40,16,N,62,88,S
11,Male,Black or African American,55110,N,,,English (011),3.596,2023,2,40,16,N,41,18,T
11,Female,Two or More,55110,N,,,English (011),3.834,,,40,16,N,44,27,T
11,Female,White,55110,N,,,English (011),3.883,2023,1,40,16,N,42,21,T
11,Female,Asian,55110,N,,Served,Vietnamese (051),3.968,2023,3,40,16,N,38,12,N
10,Male,White,55110,N,,,English (011),1.309,2023,1,40,16,N,38,12,N
10,Female,Asian,55110,N,,,English (011),2.49,,,40,16,N,30,2,N
10,Male,White,55110,N,,,English (011),3.097,2023,1,40,16,N,44,27,T
10,Female,White,55110,N,,,English (011),3.221,,,40,16,N,36,8,N
10,Female,White,55110,N,,,English (011),3.816,,,40,16,N,50,50,T
9,Male,White,55110,N,,,English (011),1.866,,,40,16,N,44,27,T
9,Male,White,55110,N,,,English (011),2.167,,,40,16,N,46,34,T
9,Male,Asian,55110,N,X,,English (011),2.866,,,40,16,N,46,34,T
9,Female,White,55110,N,,,English (011),3.166,,,40,16,N,41,18,T
9,Female,White,55110,N,,,English (011),3.232,,,40,16,N,37,10,N
9,Male,White,55110,N,,,English (011),3.32,2023,1,40,16,N,44,27,T
9,Female,White,55110,N,,,English (011),3.362,,,40,16,N,,,
9,Female,White,55110,N,,,English (011),3.443,,,40,16,N,46,34,T
9,Female,White,55110,N,,,English (011),3.473,,,40,16,N,44,27,T
9,Female,White,55110,N,,,English (011),3.665,,,40,16,N,40,16,N
9,Female,White,55110,N,,,English (011),3.667,,,40,16,N,41,18,T
9,Female,Asian,55110,N,,,English (011),3.698,,,40,16,N,31,3,N
9,Female,White,55110,N,,,English (011),3.846,,,40,16,N,45,31,T
9,Female,White,55110,N,,,English (011),4,,,40,16,N,44,27,T
12,Male,White,55110,N,,,English (011),1.477,,,41,18,T,,,
12,Female,White,55110,N,,,English (011),3.611,2023,6,41,18,T,35,7,N
12,Male,White,55110,N,,,English (011),3.76,2023,6,41,18,T,52,58,T
11,Female,White,55110,N,,,English (011),1.727,,,41,18,T,33,4,N
11,Male,White,55110,N,,,English (011),3.157,2023,4,41,18,T,,,
11,Male,Hispanic,55110,N,,,English (011),3.175,2023,3,41,18,T,,,
10,Female,Asian,55110,Y,,Served,Hmong (020),1.978,,,41,18,T,,,
10,Male,Hispanic,55110,N,,,English (011),2.278,2023,4,41,18,T,37,10,N
10,Male,White,55110,N,,,English (011),2.386,,,41,18,T,41,18,T
10,Male,White,55110,Y,,,English (011),2.449,,,41,18,T,39,14,N
10,Male,Hispanic,55110,N,,Served,Spanish (045),3.139,,,41,18,T,,,
10,Male,White,55110,Y,,,English (011),3.241,,,41,18,T,,,
10,Male,White,55110,N,,,English (011),3.361,,,41,18,T,38,12,N
10,Male,White,55110,N,,,English (011),3.579,2023,2,41,18,T,43,24,T
10,Female,White,55110,N,,,English (011),3.713,,,41,18,T,45,31,T
10,Female,White,55110,N,,,English (011),4.13,2023,3,41,18,T,41,18,T
10,Female,White,55110,N,,,English (011),4.167,2023,3,41,18,T,47,38,T
9,Female,White,55110,N,,,English (011),1.598,,,41,18,T,42,21,T
9,Male,White,55110,N,X,,English (011),2.112,,,41,18,T,39,14,N
9,Male,White,55110,Y,,,"Sign Language, ASL (042)",2.947,,,41,18,T,,,
9,Male,White,55110,N,,,English (011),3.111,,,41,18,T,45,31,T
9,Female,White,55110,N,,,English (011),3.335,,,41,18,T,42,21,T
9,Female,White,55110,N,,,English (011),4,,,41,18,T,42,21,T
12,Male,White,55110,Y,,,English (011),1.617,,,42,21,T,,,
12,Female,White,55110,N,X,,English (011),1.957,2023,4,42,21,T,31,3,N
12,Male,White,55110,N,X,,English (011),2.609,2023,11,42,21,T,,,
12,Male,White,55110,N,,,English (011),2.966,2023,1,42,21,T,45,31,T
12,Female,White,55110,N,,,English (011),3.049,2023,5,42,21,T,33,4,N
12,Female,White,55110,N,,,English (011),3.26,2023,4,42,21,T,37,10,N
12,Female,White,55110,N,,,English (011),3.555,2023,8,42,21,T,33,4,N
12,Female,White,55110,N,,,English (011),3.57,2023,9,42,21,T,41,18,T
12,Female,White,55110,N,,,English (011),3.976,2023,2,42,21,T,44,27,T
11,Male,Two or More,55110,N,,,English (011),1.282,,,42,21,T,,,
11,Male,White,55110,N,,,English (011),1.478,2022,1,42,21,T,,,
11,Male,Two or More,55110,N,,,English (011),1.478,,,42,21,T,,,
11,Female,Black or African American,55110,N,,,English (011),3.012,,,42,21,T,,,
11,Male,White,55110,N,,,English (011),3.223,,,42,21,T,44,27,T
11,Female,White,55110,N,,,English (011),3.805,2023,5,42,21,T,40,16,N
10,Female,White,55110,N,,,English (011),1.751,2023,2,42,21,T,,,
10,Male,White,55110,N,,,English (011),2.509,,,42,21,T,,,
10,Male,White,55110,N,,,English (011),2.574,,,42,21,T,32,4,N
10,Female,Asian,55110,N,,Qualified Not Participating,English (011),3.186,,,42,21,T,42,21,T
10,Male,White,55110,N,,,English (011),3.297,,,42,21,T,40,16,N
10,Female,Two or More,55110,N,,,English (011),3.708,2023,2,42,21,T,50,50,T
10,Female,White,55110,N,,,English (011),4.021,2023,2,42,21,T,39,14,N
10,Male,White,55110,N,,,English (011),4.13,2023,4,42,21,T,42,21,T
9,Male,Hispanic,55110,N,,,English (011),0.723,,,42,21,T,,,
9,Male,White,55110,N,,,English (011),1.54,,,42,21,T,39,14,N
9,Male,White,55110,Y,,,English (011),2.665,,,42,21,T,41,18,T
9,Male,White,55110,N,,,English (011),3.097,2023,1,42,21,T,30,2,N
9,Female,Hispanic,55110,N,,Served,Spanish (045),3.112,,,42,21,T,44,27,T
9,Female,White,55110,N,,,English (011),3.361,,,42,21,T,40,16,N
9,Male,White,55110,N,,,English (011),3.438,2023,1,42,21,T,51,54,T
9,Male,White,55110,N,,,English (011),3.445,,,42,21,T,37,10,N
9,Male,White,55110,N,,,English (011),3.558,,,42,21,T,41,18,T
9,Female,White,55110,N,,,English (011),3.778,,,42,21,T,57,76,T
9,Male,White,55110,N,,,English (011),3.778,2023,1,42,21,T,37,10,N
9,Female,White,55110,N,,,English (011),3.888,,,42,21,T,40,16,N
9,Female,White,55110,N,X,,English (011),3.89,,,42,21,T,42,21,T
9,Female,White,55110,N,,,English (011),3.945,,,42,21,T,37,10,N
9,Female,White,55110,N,,,English (011),4,,,42,21,T,41,18,T
9,Female,White,55110,N,,,English (011),4,,,42,21,T,45,31,T
12,Male,White,55110,N,,,English (011),2.109,2021,2,43,24,T,,,
12,Male,White,55110,N,X,,English (011),2.445,,,43,24,T,,,
12,Male,White,55110,N,,,English (011),2.864,2023,4,43,24,T,28,1,N
12,Male,White,55110,N,,,English (011),3.393,2023,5,43,24,T,43,24,T
12,Female,White,55110,N,,,English (011),3.415,2023,7,43,24,T,41,18,T
11,Male,Black or African American,55110,N,,Served,French (015),3.046,,,43,24,T,,,
11,Female,White,55110,N,,,English (011),3.565,,,43,24,T,31,3,N
11,Female,White,55110,N,,,English (011),3.578,2023,4,43,24,T,45,31,T
11,Male,White,55110,Y,,,English (011),3.609,,,43,24,T,45,31,T
11,Male,White,55110,N,,,English (011),3.842,2023,1,43,24,T,52,58,T
11,Female,White,55110,N,,,English (011),3.887,2023,2,43,24,T,42,21,T
11,Male,Asian,55110,N,,,English (011),3.892,2023,6,43,24,T,,,
11,Female,White,55110,N,,,English (011),3.945,2023,1,43,24,T,48,42,T
10,Male,Asian,55110,N,,,English (011),1.618,,,43,24,T,47,38,T
10,Male,White,55110,Y,,,English (011),1.757,,,43,24,T,36,8,N
10,Female,Hispanic,55110,N,,,English (011),2.071,,,43,24,T,,,
10,Female,White,55110,N,,,English (011),2.128,,,43,24,T,,,
10,Male,White,55110,N,,,English (011),3.626,2023,1,43,24,T,40,16,N
10,Male,White,55110,N,,,English (011),3.657,2023,3,43,24,T,40,16,N
10,Female,Two or More,55110,N,,,English (011),3.986,2023,1,43,24,T,40,16,N
10,Female,Two or More,55110,N,,,English (011),4.108,2023,2,43,24,T,43,24,T
9,Female,Black or African American,55110,N,,Served,Amharic (063),1.817,,,43,24,T,42,21,T
9,Female,Two or More,55110,N,,,English (011),2.083,,,43,24,T,36,8,N
9,Male,White,55110,N,,,English (011),2.277,,,43,24,T,35,7,N
9,Male,White,55110,Y,,,English (011),2.301,,,43,24,T,47,38,T
9,Female,White,55110,N,,,English (011),2.96,2023,1,43,24,T,38,12,N
9,Male,White,55110,N,X,,English (011),3.167,,,43,24,T,47,38,T
9,Female,White,55110,N,,,English (011),3.167,,,43,24,T,50,50,T
9,Male,White,55110,N,,,English (011),3.445,,,43,24,T,45,31,T
9,Male,White,55110,N,,,English (011),3.778,2023,1,43,24,T,36,8,N
12,Female,White,55110,N,,,English (011),3.748,2023,2,44,27,T,,,
11,Male,White,55110,N,,,English (011),1.407,2023,1,44,27,T,47,38,T
11,Male,Hispanic,55110,N,,Served,Spanish (045),3.284,,,44,27,T,,,
11,Male,White,55110,Y,,,English (011),3.315,2022,1,44,27,T,42,21,T
11,Male,White,55110,N,,,English (011),3.583,2023,4,44,27,T,,,
11,Female,White,55110,N,,,English (011),3.67,2023,2,44,27,T,51,54,T
11,Female,White,55110,N,,,English (011),4,,,44,27,T,36,8,N
11,Male,White,55110,N,,,English (011),4.053,2023,3,44,27,T,43,24,T
11,Male,White,55110,Y,,,English (011),4.109,2023,13,44,27,T,36,8,N
10,Male,White,55110,N,,,English (011),0.3,,,44,27,T,,,
10,Female,Hispanic,55110,N,,Served,Spanish (045),0.879,,,44,27,T,,,
10,Female,Hispanic,55110,Y,,,English (011),2.704,,,44,27,T,32,4,N
10,Male,White,55110,N,,,English (011),3.878,2023,1,44,27,T,50,50,T
10,Male,White,55110,N,,,English (011),3.968,2023,3,44,27,T,54,66,T
10,Female,White,55110,N,,,English (011),3.982,2023,1,44,27,T,40,16,N
9,Female,White,55110,Y,,,English (011),1.223,,,44,27,T,30,2,N
